Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
2005-07-08,35.21898637244893,35.439450346666256,35.01505646042282,35.42842483520508,8144900,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-11,35.428419175872115,35.7260448627727,35.3347233684219,35.709510803222656,6528500,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-12,35.7095189511762,35.82526159943581,35.61031036623927,35.70400619506836,5141600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-13,35.61581114749173,35.76462187236312,35.46699621762092,35.505577087402344,6809800,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-14,35.65990848837274,35.759117061992654,35.45047003517532,35.604793548583984,6521400,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-15,35.588268538188736,35.90794115726526,35.588268538188736,35.841800689697266,6444500,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-18,35.74258300055606,35.86383839109155,35.52211903640067,35.604793548583984,5938000,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-19,35.577228809391706,35.858316189770086,35.54966924425692,35.83626937866211,11069400,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-20,35.75360140830842,35.80320358276367,35.466997050346286,35.80320358276367,7312600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-21,35.753609004105556,35.753609004105556,35.26307678222656,35.26307678222656,9850100,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-22,35.494563604454086,35.494563604454086,35.27409964069964,35.450469970703125,5398400,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-25,35.41190066899335,35.4339474930762,34.88830016078043,34.91034698486328,6741900,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-26,34.63475932903463,34.9268723163207,34.54106140136719,34.54106140136719,12640400,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-27,34.7780628413919,35.69849553028347,34.73397130244827,35.57173156738281,10789500,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-28,35.53864416220881,35.73705703108391,35.34022708833491,35.67643356323242,6391600,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-07-29,35.648886595070366,35.70400153395106,35.24102889885273,35.252052307128906,6143200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-01,35.41189314967902,36.01816596571616,35.41189314967902,35.5496826171875,7348200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-02,35.62683157125687,35.66541244008561,35.36778679269277,35.62131881713867,5554800,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-03,35.48352320516724,35.83075516901233,35.44494234307318,35.75359344482422,5090400,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-04,35.6819390578617,35.79768164021593,35.34022406376781,35.35675811767578,4049200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-05,35.28512609344723,35.31819842608468,35.020572662353516,35.020572662353516,5019400,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-08,35.02056732869914,35.097729084766435,34.84970765276428,34.965450286865234,4002000,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-09,35.06466384126597,35.285125732421875,34.97096801058731,35.285125732421875,4601200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
2005-08-10,35.362279437530255,35.63785828275415,35.13630276604692,35.1914176940918,5351200,1d,Daily,yfinance,max,2026-04-02T16:12:41Z
