candidate_id,candidate_name,candidate_family,is_control,ticker,split,split_start,split_end,split_rows,signal_count,rejected_signal_count,trade_count,average_holding_bars,actual_cumulative_return,mean_simulated_return,median_simulated_return,std_simulated_return,RCSI,RCSI_z,p_value,percentile,classification_raw,classification_raw_label,simulation_count,research_grade,null_model,seed,bh_adjusted_p_value_by_ticker_split,bh_adjusted_p_value_by_split_global,classification_bh_by_ticker_split,classification_bh_by_ticker_split_label,classification_bh_by_split_global,classification_bh_by_split_global_label
cand_cross_asset_monthly_momentum_nostop,Cross-Asset Monthly Momentum (No Trailing Stop),relative_strength_momentum,False,QQQ,holdout,2021-02-02,2026-04-02,1298,25,0,25,32.48,0.09210234247322847,0.36586009947020104,0.3765144358164685,0.37458314632644374,-0.2737577569969726,-0.7308330865436127,0.7930174563591023,20.947630922693268,negative_skill,Negative Skill,400,False,structure_preserving_random_timing_shared_calendar,20408767,0.8611803823773898,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_tsmom_12m_filter,TSMOM 12M + Trend Filter,time_series_momentum,False,QQQ,holdout,2021-02-02,2026-04-02,1298,46,0,46,11.608695652173912,0.23133863122810616,0.34246505454591925,0.30325572542183554,0.28553686446746085,-0.11112642331781308,-0.38918415499542897,0.5785536159600998,42.394014962593516,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20318420,0.7871231013375652,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_dual_horizon_trend,Dual-Horizon Trend Stack,trend_following,False,QQQ,holdout,2021-02-02,2026-04-02,1298,41,0,41,16.902439024390244,0.252541789237674,0.39863504829629554,0.350684574485452,0.3385359085809838,-0.14609325905862153,-0.43154435129493335,0.6134663341645885,38.90274314214464,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20327317,0.7871231013375652,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_faber_10m_timing,Faber 10-Month Timing Rule,trend_following,False,QQQ,holdout,2021-02-02,2026-04-02,1298,12,0,12,82.33333333333333,0.8613347247177549,0.737259669836575,0.762749343605754,0.3094492810237064,0.12407505488117987,0.40095441317788905,0.40399002493765584,59.85037406483791,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20318038,0.7871231013375652,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,False,QQQ,holdout,2021-02-02,2026-04-02,1298,1,0,1,18.0,0.045989447370380195,0.006695547832719183,0.01079842541980176,0.05357387993482997,0.03929389953766101,0.7334525628059819,0.23690773067331672,76.55860349127181,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20310987,0.7871231013375652,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_vol_managed_momentum,Volatility-Managed Momentum,volatility_scaled_momentum,False,QQQ,holdout,2021-02-02,2026-04-02,1298,59,0,59,9.661016949152541,0.2522224169406042,0.29295571693276445,0.2575050418480602,0.32000498669433847,-0.04073329999216024,-0.1272895788685561,0.5062344139650873,49.62593516209476,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20334884,0.7871231013375652,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_bb_squeeze_breakout,Bollinger Squeeze Breakout,breakout,False,SPY,holdout,2019-11-08,2026-04-02,1607,23,0,23,12.043478260869565,0.11924581836643892,0.19076151938099578,0.18429922888098088,0.18820228777895706,-0.07151570101455686,-0.3799937920975318,0.6458852867830424,35.66084788029925,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20331263,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_breakout_20_volume,20-Day Breakout + Volume Confirmation,breakout,False,SPY,holdout,2019-11-08,2026-04-02,1607,19,0,19,14.578947368421053,0.08072719400596767,0.1650846856298778,0.14185417780449816,0.1923922301073545,-0.08435749162391012,-0.43846620820829824,0.6783042394014963,32.418952618453865,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20325805,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_donchian_55_breakout,Donchian 55-Day Breakout,breakout,False,SPY,holdout,2019-11-08,2026-04-02,1607,34,0,34,13.676470588235293,0.04861805511844347,0.3063817186947093,0.28024747802935024,0.2722747808516197,-0.25776366357626584,-0.9467041448717135,0.8204488778054863,18.204488778054863,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20333162,0.9413503278839938,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
control_existing_validation,Control: Existing Validation Strategy,control,True,SPY,holdout,2019-11-08,2026-04-02,1607,23,0,23,21.130434782608695,0.24720481553128854,0.29352957713802647,0.2652174637829415,0.2854852282868698,-0.04632476160673793,-0.16226675504271101,0.5211970074812967,48.12967581047381,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20343501,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
control_random_baseline,Control: Random Baseline,control,True,SPY,holdout,2019-11-08,2026-04-02,1607,63,0,63,11.873015873015873,0.9152692145403996,0.4611274528896307,0.3934132248423267,0.3360650654715379,0.45414176165076886,1.351350700536385,0.11221945137157108,89.02743142144638,weak_skill,Weak Skill,400,False,structure_preserving_random_timing,20326984,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
existing_breakout_volume_momentum,Existing Strategy: Breakout + Volume + Momentum,existing_production,False,SPY,holdout,2019-11-08,2026-04-02,1607,26,0,26,7.769230769230769,-0.03954711100720821,0.12491662669165864,0.11319694598783897,0.1741431036677338,-0.16446373769886685,-0.9444171732040837,0.8354114713216958,16.708229426433917,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20371531,0.9413503278839938,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
existing_connors_rsi2_pullback,Existing Strategy: Connors RSI(2) Pullback,existing_production,False,SPY,holdout,2019-11-08,2026-04-02,1607,29,0,29,2.3793103448275863,0.16422980553426267,0.03395700120051209,0.03237860467154972,0.08803149006951971,0.13027280433375057,1.4798432269051938,0.08977556109725686,91.2718204488778,weak_skill,Weak Skill,400,False,structure_preserving_random_timing,20355139,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
existing_donchian_trend_reentry,Existing Strategy: Donchian Trend Reentry,existing_production,False,SPY,holdout,2019-11-08,2026-04-02,1607,24,0,24,16.166666666666668,0.022800563723019286,0.2748170745337758,0.25293644987734987,0.22925067709110455,-0.2520165108107565,-1.0993054154016948,0.8653366583541147,13.715710723192021,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20361328,0.9413503278839938,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
existing_mean_reversion_vol_filter,Existing Strategy: Mean Reversion + Volatility Filter,existing_production,False,SPY,holdout,2019-11-08,2026-04-02,1607,6,0,6,4.5,0.05022424838706292,0.012874249822456808,0.01571329156491986,0.053859959021342343,0.037349998564606114,0.6934650386534076,0.24189526184538654,76.05985037406484,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20375702,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
existing_momentum_relative_strength,Existing Strategy: Momentum + Relative Strength,existing_production,False,SPY,holdout,2019-11-08,2026-04-02,1607,284,0,284,4.806338028169014,0.04666287642885216,0.6428238770979849,0.607953535440306,0.7622440851849848,-0.5961610006691328,-0.782112990125012,0.800498753117207,20.199501246882793,negative_skill,Negative Skill,400,False,structure_preserving_random_timing_shared_calendar,20381184,0.9413503278839938,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,False,SPY,holdout,2019-11-08,2026-04-02,1607,28,0,28,7.857142857142857,0.15662595295498571,0.1388117360432122,0.12540377053037288,0.18644107798486703,0.01781421691177351,0.09554877661252016,0.4463840399002494,55.61097256857855,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20327072,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
existing_turn_of_month_seasonality,Existing Strategy: Turn-of-Month Seasonality,existing_production,False,SPY,holdout,2019-11-08,2026-04-02,1607,51,0,51,4.411764705882353,0.16237565497717435,0.08243004199900777,0.06711728760609126,0.15694202640499072,0.07994561297816657,0.509395824747834,0.2743142144638404,72.81795511221945,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20376152,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_hybrid_trend_breakout_pullback,Hybrid Trend + Breakout/Pullback,hybrid,False,SPY,holdout,2019-11-08,2026-04-02,1607,45,0,45,14.022222222222222,0.2720611093974419,0.377049628893028,0.36199084682884697,0.29052240815490704,-0.10498851949558613,-0.3613783878578002,0.6109725685785536,39.15211970074813,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20379658,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_regime_filtered_momentum,Regime-Filtered Momentum,hybrid,False,SPY,holdout,2019-11-08,2026-04-02,1607,57,0,57,12.491228070175438,0.4326628532532729,0.5293381752838663,0.4960834286348125,0.3239501215609752,-0.09667532203059337,-0.29842656506735327,0.5960099750623441,40.64837905236908,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20352080,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_mean_reversion_bbands,Bollinger Mean Reversion,mean_reversion,False,SPY,holdout,2019-11-08,2026-04-02,1607,4,0,4,4.5,-0.08677968327068086,0.007689162987209683,0.008232189219195747,0.049695446834206784,-0.09446884625789055,-1.9009557670958492,0.9775561097256857,2.493765586034913,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20338691,0.9775561097256856,1.0,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_mean_reversion_zscore,Z-Score Mean Reversion (Calm Regime),mean_reversion,False,SPY,holdout,2019-11-08,2026-04-02,1607,1,0,1,8.0,0.013354044364385477,0.00420867347319619,0.007602149301773856,0.028053700926467938,0.009145370891189287,0.3259951660267707,0.36159600997506236,64.08977556109726,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20339625,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_dual_momentum_trend_filter,Dual Momentum + Trend Filter,momentum,False,SPY,holdout,2019-11-08,2026-04-02,1607,119,0,119,7.840336134453781,0.6199243932968675,0.745763221826434,0.6996889236401854,0.4038183759291113,-0.1258388285295664,-0.3116223431884063,0.6034912718204489,39.900249376558605,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20361058,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_medium_term_momentum_63,Medium-Term Momentum (63-Day),momentum,False,SPY,holdout,2019-11-08,2026-04-02,1607,74,0,74,10.91891891891892,0.322254708696461,0.5925349008600064,0.5619390797985356,0.35427878763742243,-0.2702801921635454,-0.7629025546969996,0.7630922693266833,23.940149625935163,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20344791,0.9413503278839938,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
