agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
mean_reversion,12,112,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.699492871373002,3.0761402833514477,4.008468938843487,90.8,0.092,1.0362121726544447,6.609610511461616,1.3054767741303668,0,1,-0.31437704102559993,11.505501647103312,66,0.00047,1000,random_timing_matched_duration
random,12,112,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,11.196920127804347,20.636531632891845,31.159848281064754,34.8,0.652,0.1857524042680798,-4.700750598445751,-0.4538007366398532,0,0,0.849782829914505,73.77151524111603,80,0.00047,1000,random_timing_matched_duration
momentum,12,112,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,42.81233810742895,69.57533753349651,87.74707630378067,23.400000000000002,0.766,0.11577123036739606,-18.98330837254912,-0.5213428153462665,0,0,10.675554923044036,223.69735145268473,44,0.00047,1000,random_timing_matched_duration
breakout,12,112,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,25.598094086365826,42.75862668075298,55.235881328724005,15.7,0.843,0.07417242537525769,-16.67815744673569,-0.6126215283818763,0,0,3.9778809805165682,139.3277369969625,43,0.00047,1000,random_timing_matched_duration
trend,13,113,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,27.307162678846296,44.80267790295234,55.74591490867961,9.700000000000001,0.903,0.04431224968649419,-20.305279104109417,-0.678090841098204,0,0,4.197669571304304,152.42554269659308,132,0.00047,1000,random_timing_matched_duration
mean_reversion,13,113,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,2.026286186180421,3.2575356953670545,3.9965008818676786,90.7,0.093,1.031517051446065,6.282817196654197,1.2639976411332159,0,1,-0.31763447179705423,10.912143449816122,66,0.00047,1000,random_timing_matched_duration
random,13,113,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,8.89802192544851,18.967677565263294,32.648677452240435,39.2,0.608,0.21609642072726507,-2.4018523960899145,-0.3819912170760495,0,0,0.8876957470766493,63.52421781367982,80,0.00047,1000,random_timing_matched_duration
momentum,13,113,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,47.820190935815674,74.80550772064595,104.13008259854514,21.9,0.781,0.10734896612269966,-23.991161200935846,-0.4895461207141916,0,0,11.53428713881083,202.796257812137,44,0.00047,1000,random_timing_matched_duration
breakout,13,113,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,24.870138733652446,44.35788138732686,60.806321424612236,17.0,0.83,0.08092190762392612,-15.950202094022307,-0.5828003391330413,0,0,3.8418567091432285,155.01593009053548,43,0.00047,1000,random_timing_matched_duration
trend,14,114,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,28.140650498084145,46.33157399121963,59.73450263556118,9.8,0.902,0.04479346245805826,-21.138766923347262,-0.6584082679390885,0,0,4.469697717336326,146.99077916183734,132,0.00047,1000,random_timing_matched_duration
