agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
momentum_relative_strength,2,102,1.3100345158822837,0.09286267910083354,0.5663123362476905,0.17396150381136263,-0.3463891050521426,0.805628305717903,0.9951523880484104,0.978803922696209,72.0,0.28,0.5528419686577808,0.31488212783387326,0.32170092551989404,0,1,-0.10806612559183708,2.4907404253893626,102,0.00047,250,random_peer_rotation_matched_duration
random,2,102,0.5795171762083964,0.05126837801622232,0.3385147389466834,0.13473317851996228,-0.4889409700417706,0.38530941248251116,0.5406874754511523,0.9254136126892138,58.4,0.416,0.3809066693732573,0.03882970075724412,0.04195929282302927,0,1,-0.4197514571186949,2.1765385328304885,69,0.00047,250,random_timing_matched_duration
trend_pullback,3,103,0.05077746156350135,0.005298340378992897,0.1016672472864825,0.03529005842231279,-0.25533385779723416,0.13240341583899407,0.23020167664633592,0.4746801267845478,42.8,0.572,0.24260397120697583,-0.17942421508283457,-0.37798973447285966,0,0,-0.4424553064624477,1.0667177608271463,78,0.00047,250,random_timing_matched_duration
breakout_volume_momentum,3,103,0.31961747777883975,0.031183788691534483,0.28043130235440705,0.1257785973228255,-0.33858385835936156,0.0816976725054851,0.2549568410417986,0.6360359768682557,62.0,0.38,0.42021640338318983,0.06466063673704114,0.10166191707491182,0,1,-0.48503710883424545,1.3273865147200934,43,0.00047,250,random_timing_matched_duration
mean_reversion_vol_filter,3,103,-0.3033445230820998,-0.048197292109811156,-0.6635237201202754,-0.40683885460114844,-0.3033445230821,0.010704362914623775,0.03045714501528022,0.19864436560773485,2.4,0.976,0.010550182333308195,-0.33380166809738004,-1.6803983695995777,0,0,-0.2569227261268659,0.40208404152538596,26,0.00047,250,random_timing_matched_duration
volatility_managed_tsmom,3,103,0.04727088599472139,0.0050426114561207425,0.09974791928318577,0.05420695472018694,-0.15664697195177435,0.2394984159160042,0.2656960361651568,0.3552954156188415,28.4,0.716,0.14508697769214446,-0.2184251501704354,-0.6147705277592448,0,0,-0.23556073966137986,0.9087411981603921,31,0.00047,250,random_timing_matched_duration
momentum_relative_strength,3,103,1.3100345158822837,0.09286267910083354,0.5663123362476905,0.17396150381136263,-0.3463891050521426,0.7330760518437156,1.0054853307061686,1.033665208216497,69.6,0.304,0.5171264163912462,0.30454918517611507,0.29463039169286664,0,1,-0.2516635421768469,2.896501543752694,102,0.00047,250,random_peer_rotation_matched_duration
random,3,103,1.7952235097294662,0.11839393350029567,0.6170050861942312,0.23310358796254121,-0.5515159973289225,0.39422541434866565,0.5904467011657138,0.975404019324017,91.2,0.088,1.0555173278498313,1.2047768085637522,1.235156698860742,0,1,-0.39426390121183347,2.488835980151046,64,0.00047,250,random_timing_matched_duration
trend_pullback,4,104,0.05077746156350135,0.005298340378992897,0.1016672472864825,0.03529005842231279,-0.25533385779723416,0.14445805972859888,0.24351754033448586,0.5019130907609738,40.400000000000006,0.596,0.22475374025976358,-0.1927400787709845,-0.3840108622764995,0,0,-0.37733544242093126,1.1873178783472844,78,0.00047,250,random_timing_matched_duration
breakout_volume_momentum,4,104,0.31961747777883975,0.031183788691534483,0.28043130235440705,0.1257785973228255,-0.33858385835936156,0.04544573170980294,0.24857775601208373,0.6178474297452405,64.8,0.352,0.453457336521869,0.07103972176675602,0.11497939191241453,0,1,-0.4651779842904725,1.457204796178876,43,0.00047,250,random_timing_matched_duration
