agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
random,53,153,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.14715712138290454,-0.11285545996595316,0.24509487231837904,35.980000000000004,0.6402,0.1936843301918865,-0.07901403301109072,-0.4623340070568455,0,0,-0.44666528141774386,0.33156468591850996,168,0.00047,5000,random_timing_matched_duration
momentum,53,153,-0.08735559415374283,-0.0032783004405611453,0.006509220280149819,-0.01419640836367878,-0.2766310907834091,-0.1282326985349115,-0.09013763102934488,0.25403050445694225,56.46,0.4354,0.36111157529492444,0.04087710438116868,0.010951585840249361,0,1,-0.43687510518430606,0.37896178313103007,139,0.00047,5000,random_timing_matched_duration
breakout,53,153,0.2973204889873408,0.009221639182895492,0.14550040683588905,0.11893807372172219,-0.20026663930785327,-0.08799866546445592,-0.05372636177030157,0.24872048770865435,91.42,0.0858,1.0665127121512945,0.38531915445179676,1.4114110743014097,0,1,-0.3988766325672231,0.39895944466109196,66,0.00047,5000,random_timing_matched_duration
trend,54,154,-0.2998493515532205,-0.012496905602191842,-0.08848130107833317,-0.04372625216320706,-0.46659819557414284,-0.19928495146081504,-0.16810101227347368,0.2302343070643997,31.52,0.6848,0.1644362483309032,-0.10056440009240547,-0.5722359146193404,0,0,-0.4869678501147476,0.25170524558096946,298,0.00047,5000,random_timing_matched_duration
mean_reversion,54,154,-0.26386861515038734,-0.01067813230428344,-0.1775136719285032,-0.08500625326853538,-0.366248529758458,-0.08151510577178989,-0.05192464329730401,0.23159287212789098,17.14,0.8286,0.08165507103772508,-0.18235350937859746,-0.9151575776306403,0,0,-0.374235465565104,0.3786035413742565,126,0.00047,5000,random_timing_matched_duration
random,54,154,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.1369671339742158,-0.10645218985716752,0.24503603502808002,34.62,0.6538,0.18455508375564977,-0.08920402041977946,-0.4885769740891722,0,0,-0.448718850355054,0.3422530571199141,168,0.00047,5000,random_timing_matched_duration
momentum,54,154,-0.08735559415374283,-0.0032783004405611453,0.006509220280149819,-0.01419640836367878,-0.2766310907834091,-0.11501328323172103,-0.08241697474293032,0.25489502161596034,55.1,0.449,0.3477536589966768,0.027657689077978193,-0.019375111288965564,0,1,-0.42838992128248,0.38762972886190755,139,0.00047,5000,random_timing_matched_duration
breakout,54,154,0.2973204889873408,0.009221639182895492,0.14550040683588905,0.11893807372172219,-0.20026663930785327,-0.08888030996535759,-0.056743931268605025,0.24554540660923446,91.4,0.086,1.0655015487564323,0.38620079895269843,1.4419509008344455,0,1,-0.3943119751555373,0.39843941827827056,66,0.00047,5000,random_timing_matched_duration
trend,55,155,-0.2998493515532205,-0.012496905602191842,-0.08848130107833317,-0.04372625216320706,-0.46659819557414284,-0.19861930769034977,-0.1678656955399289,0.23178231421927897,31.36,0.6864,0.16342272515935097,-0.10123004386287074,-0.5694293650395937,0,0,-0.49442482646740543,0.25294770552762713,298,0.00047,5000,random_timing_matched_duration
mean_reversion,55,155,-0.26386861515038734,-0.01067813230428344,-0.1775136719285032,-0.08500625326853538,-0.366248529758458,-0.06733702803233653,-0.04544519357017484,0.22886197937385014,16.48,0.8352,0.07820951434181303,-0.1965315871180508,-0.9543892881543855,0,0,-0.37378480798573926,0.3658999297491706,126,0.00047,5000,random_timing_matched_duration
random,55,155,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.1384901052363065,-0.10838227845770652,0.24488595905197488,34.699999999999996,0.653,0.18508681872492605,-0.08768104915768876,-0.4809948124109847,0,0,-0.4466737757773912,0.3430541936998397,168,0.00047,5000,random_timing_matched_duration
momentum,55,155,-0.08735559415374283,-0.0032783004405611453,0.006509220280149819,-0.01419640836367878,-0.2766310907834091,-0.1073338663591359,-0.07345328088631675,0.2580282478028484,53.52,0.4648,0.3327338806177257,0.01997827220539307,-0.05387903605828622,0,1,-0.4316209334866729,0.4045993388859865,139,0.00047,5000,random_timing_matched_duration
breakout,55,155,0.2973204889873408,0.009221639182895492,0.14550040683588905,0.11893807372172219,-0.20026663930785327,-0.09181101062950185,-0.059404415344157975,0.2466497793544926,91.36,0.0864,1.0634862575211066,0.3891314996168427,1.4462810599915554,0,1,-0.4044588128905052,0.40492055535369653,66,0.00047,5000,random_timing_matched_duration
trend,56,156,-0.2998493515532205,-0.012496905602191842,-0.08848130107833317,-0.04372625216320706,-0.46659819557414284,-0.19965609253809563,-0.17079241475110418,0.23134313599687106,31.52,0.6848,0.1644362483309032,-0.10019325901512488,-0.5578593730304661,0,0,-0.49040651236797794,0.24788729793766687,298,0.00047,5000,random_timing_matched_duration
mean_reversion,56,156,-0.26386861515038734,-0.01067813230428344,-0.1775136719285032,-0.08500625326853538,-0.366248529758458,-0.0697348622514686,-0.04472473466834932,0.22814990200429408,16.18,0.8382,0.0766523435021745,-0.19413375289891874,-0.9605258584678834,0,0,-0.3740067340551887,0.36740640835759003,126,0.00047,5000,random_timing_matched_duration
random,56,156,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.13828114850575646,-0.1032916842558313,0.24301010400448714,34.08,0.6592,0.1809828013109406,-0.08789000588823881,-0.5056558065416696,0,0,-0.44117851307087536,0.33561248701970087,168,0.00047,5000,random_timing_matched_duration
momentum,56,156,-0.08735559415374283,-0.0032783004405611453,0.006509220280149819,-0.01419640836367878,-0.2766310907834091,-0.11817223812958026,-0.08643130905363033,0.2525814186327539,55.22,0.4478,0.3489159107569886,0.03081664397583743,-0.0036593550907890906,0,1,-0.4385994199001477,0.36695742960987116,139,0.00047,5000,random_timing_matched_duration
breakout,56,156,0.2973204889873408,0.009221639182895492,0.14550040683588905,0.11893807372172219,-0.20026663930785327,-0.08653288619375613,-0.05512415632723949,0.24504831963212378,91.18,0.0882,1.0545314148681804,0.38385337518109697,1.4382659136111773,0,1,-0.40418497192617575,0.39406937713516005,66,0.00047,5000,random_timing_matched_duration
trend,57,157,-0.2998493515532205,-0.012496905602191842,-0.08848130107833317,-0.04372625216320706,-0.46659819557414284,-0.20102042852755025,-0.16865375874895538,0.2333844584766105,31.14,0.6886,0.16203298163134527,-0.09882892302567026,-0.5621436562684117,0,0,-0.496583220847173,0.24887719963502625,298,0.00047,5000,random_timing_matched_duration
mean_reversion,57,157,-0.26386861515038734,-0.01067813230428344,-0.1775136719285032,-0.08500625326853538,-0.366248529758458,-0.08057393081370322,-0.054534660607795195,0.2299529572663737,17.94,0.8206,0.08586848736910616,-0.1832946843366841,-0.910333822322203,0,0,-0.37732511842045097,0.34696145427005554,126,0.00047,5000,random_timing_matched_duration
random,57,157,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.14168987051468115,-0.1108644190607713,0.24379876995514105,35.36,0.6464,0.18949865223347026,-0.08448128387931411,-0.47295864271358057,0,0,-0.4496353136945236,0.34261897037532957,168,0.00047,5000,random_timing_matched_duration
momentum,57,157,-0.08735559415374283,-0.0032783004405611453,0.006509220280149819,-0.01419640836367878,-0.2766310907834091,-0.11922276172088062,-0.08390446609590402,0.2582520403155779,55.16,0.4484,0.34833439607706446,0.03186716756713778,-0.01336341061864068,0,1,-0.4389978356014533,0.39488228886024457,139,0.00047,5000,random_timing_matched_duration
breakout,57,157,0.2973204889873408,0.009221639182895492,0.14550040683588905,0.11893807372172219,-0.20026663930785327,-0.08634397080093917,-0.05315949654279848,0.250988560203578,91.14,0.0886,1.0525662781129492,0.38366445978828,1.3963982471785301,0,1,-0.4056233237148931,0.40056413304150157,66,0.00047,5000,random_timing_matched_duration
trend,58,158,-0.2998493515532205,-0.012496905602191842,-0.08848130107833317,-0.04372625216320706,-0.46659819557414284,-0.1995681259642386,-0.1681343980443057,0.23527787411332474,31.540000000000003,0.6846,0.16456310519814174,-0.10028122558898192,-0.5598272000939304,0,0,-0.48806255765720086,0.2687701966666378,298,0.00047,5000,random_timing_matched_duration
mean_reversion,58,158,-0.26386861515038734,-0.01067813230428344,-0.1775136719285032,-0.08500625326853538,-0.366248529758458,-0.07015099082531082,-0.044816312810151686,0.23304268851518053,17.18,0.8282,0.08186477383364071,-0.19371762432507653,-0.9399664230442761,0,0,-0.37637249382258603,0.3749242735952803,126,0.00047,5000,random_timing_matched_duration
random,58,158,-0.22617115439399527,-0.008882429970699773,-0.09155488246437099,-0.038501759328338964,-0.46348759296225606,-0.1361840376449513,-0.10497129974183374,0.2447593105437003,33.82,0.6618,0.17927323717616572,-0.08998711674904397,-0.4951797518261191,0,0,-0.4466770465214626,0.3387889211332889,168,0.00047,5000,random_timing_matched_duration
